 Invensys Top Part Report for 009-00723-01c.pcb on 5/8/2009 2:30:50 PM,,,,,,,,,
,,,,,,,,,
Requested Condition:,,,,,,,,,
Layer Name contains 'Top',,,,,,,,,
,,,,,,,,,
Name,Position X,Position Y,Rotation,Layer Name,Part Type,PCB Decal,Glued,SMD,Description
C1,2095,2400,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C2,1615,2400,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C3,2315,2400,0,Top,602-35003-00,CSE6.3X5.4,No,Yes,CAP SMD6.3X5.4 ALU ELEC 100uF 16V 20% 105C
C4,1395,2400,0,Top,602-35003-00,CSE6.3X5.4,No,Yes,CAP SMD6.3X5.4 ALU ELEC 100uF 16V 20% 105C
C5,3700,2565,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C6,3165,2670,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C7,3055,2550,270,Top,602-20021-03,CS0805,No,Yes,CAP SMD0805 4700pF 100V 10%  X7R
C8,2695,2530,270,Top,602-20021-03,CS0805,No,Yes,CAP SMD0805 4700pF 100V 10%  X7R
L1,2585,2830,270,Top,663-00004-00,LS0805,No,Yes,BEAD FERRITE SMD0805 STEWARD HZ0805D102R-00
L2,2860,2335,270,Top,663-00004-00,LS0805,No,Yes,BEAD FERRITE SMD0805 STEWARD HZ0805D102R-00
L4,3955,2260,0,Top,663-00004-00,LS0805,No,Yes,BEAD FERRITE SMD0805 STEWARD HZ0805D102R-00
L5,3955,2160,0,Top,663-00004-00,LS0805,No,Yes,BEAD FERRITE SMD0805 STEWARD HZ0805D102R-00
L6,3245,2260,180,Top,663-00004-00,LS0805,No,Yes,BEAD FERRITE SMD0805 STEWARD HZ0805D102R-00
L7,3245,2160,180,Top,663-00004-00,LS0805,No,Yes,BEAD FERRITE SMD0805 STEWARD HZ0805D102R-00
L8,2860,2550,270,Top,663-00004-00,LS0805,No,Yes,BEAD FERRITE SMD0805 STEWARD HZ0805D102R-00
L9,2595,2330,90,Top,663-00004-00,LS0805,No,Yes,BEAD FERRITE SMD0805 STEWARD HZ0805D102R-00
L12,6475,2300,270,Top,663-00003-00,LS0805,No,Yes,INDUCTOR BEAD SMD0805 FERRITE 300 OHM 25%
P1,7000,2440,0,Top,655-00023-00,P10-71308-6210,No,Yes,"HEADER 0.100"" 2X5 SQ"
F1,300,200,0,Top,ZFIDUCIAL-2MM-GLOBOL,ZFUD-2MM-GLOBAL,No,Yes,FIDUCIAL- 2MM GLOBAL
F2,8820,3420,0,Top,ZFIDUCIAL-2MM-GLOBOL,ZFUD-2MM-GLOBAL,No,Yes,FIDUCIAL- 2MM GLOBAL
F3,5535,2860,0,Top,ZFIDUCIAL-LOCAL,ZFUD-LOCAL,No,Yes,FIDUCIAL- LOCAL
