 Invensys Top Part Report for 009-00722.pcb on 11/1/2012 10:23:37 AM,,,,,,,,,
,,,,,,,,,
Requested Condition:,,,,,,,,,
Layer Name contains 'Top',,,,,,,,,
,,,,,,,,,
Name,Position X,Position Y,Rotation,Layer Name,Part Type,PCB Decal,Glued,SMD,Description
A1,3820,2200,0,Top,054-00016-01,AHA,No,No,SPEAKER -PIEZO
C1,13140,2100,90,Top,002-00588-66,CRE10(30X35),No,No,CAP 220uF 450V 20% AL
C2,12980,1020,270,Top,002-00564-65,C10MM(15.5X4.5),No,No,CAP 4700pF 1KV 10% CD
C3,9660,2620,90,Top,002-00498-00,CRE200(414X690),No,No,CAP RAD A/E 1000uF 16V 20%
C4,7070,3460,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C5,7320,3380,0,Top,602-30047-00,CSE8X10,No,Yes,CAP SMD8X10 AE 100uF 50V 20% 105C LOW Z
C6,6320,2620,0,Top,602-35003-00,CSE6.3X5.4,No,Yes,CAP SMD6.3X5.4 ALU ELEC 100uF 16V 20% 105C
C7,6100,2660,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C8,4360,1700,270,Top,602-00020-03,CS0805,No,Yes,CAP SMD0805 CER .01uF 50V 10% X7R
C9,1000,3225,270,Top,602-00022-03,CS0805,No,Yes,CAP SMD0805 CER .001uF 100V 10% X7R
C10,12180,2200,270,Top,602-00058-03,CS0805,No,Yes,CAP SMD0805 CER .047uF 50V 10% 125C XR7
C11,4800,1700,0,Top,602-35003-00,CSE6.3X5.4,No,Yes,CAP SMD6.3X5.4 ALU ELEC 100uF 16V 20% 105C
C12,4560,1735,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C13,4220,1115,0,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C14,5760,1700,180,Top,602-00018-03,CS0805,No,Yes,CAP SMD0805 CER 15pF 100V 10% X7R
C15,5580,1700,0,Top,602-00018-03,CS0805,No,Yes,CAP SMD0805 CER 15pF 100V 10% X7R
C16,5420,1740,90,Top,602-00044-03,CS0805,No,Yes,CAP SMD0805 .47uF 16V X7R
C17,6260,1870,270,Top,002-00498-66,CRE200(414X690),No,No,CAP RAD A/E 1000uF 16V 20%
C18,10320,2100,90,Top,602-00020-03,CS0805,No,Yes,CAP SMD0805 CER .01uF 50V 10% X7R
C19,5320,1740,270,Top,602-00020-03,CS0805,No,Yes,CAP SMD0805 CER .01uF 50V 10% X7R
C20,4940,2360,90,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C21,2720,680,0,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C22,5440,2660,0,Top,602-00044-03,CS0805,No,Yes,CAP SMD0805 .47uF 16V X7R
C23,9960,3080,90,Top,602-00020-03,CS0805,No,Yes,CAP SMD0805 CER .01uF 50V 10% X7R
C24,5740,2770,0,Top,602-00044-03,CS0805,No,Yes,CAP SMD0805 .47uF 16V X7R
C25,12610,2905,90,Top,602-20019-03,CS0805,No,Yes,CAP 3300pF 100V 10% 0805 X7R
C26,11540,2000,90,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C27,4320,960,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C28,4580,2660,0,Top,602-00049-07,CSE8X10,No,Yes,CAP SMD8X10 AE 22uF 63V 20% 105C
C29,8360,2720,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C31,3220,2480,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C32,7720,2550,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C33,7520,2550,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C34,7620,2375,90,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C35,1935,1250,0,Top,602-35003-00,CSE6.3X5.4,No,Yes,CAP SMD6.3X5.4 ALU ELEC 100uF 16V 20% 105C
C36,8940,2280,90,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C37,7620,2825,90,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C38,8260,2520,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C39,5740,2670,0,Top,602-00020-03,CS0805,No,Yes,CAP SMD0805 CER .01uF 50V 10% X7R
C40,2630,3900,90,Top,602-00022-03,CS0805,No,Yes,CAP SMD0805 CER .001uF 100V 10% X7R
C41,2500,3900,90,Top,602-00022-03,CS0805,No,Yes,CAP SMD0805 CER .001uF 100V 10% X7R
