"Part No","Revision","Operation No","Operation Code","Component Part No","Component Revision","Quantity","Component Type","Note","Validate","Auto Deplete","Transfer Heat","Unit Conversion","Min Quantity","Max Quantity","Fix Quantity"
"086-00154-04R","000","900","EBOM","009-00722-01","E","1","Part","","","","","","","",""
"086-00154-04R","000","900","EBOM","601-00046-00","CP","3","Part","R143,R144,R146","","","","","","",""
"086-00154-04R","000","900","EBOM","601-00066-02","CP","1","Part","  R85,  ","","","","","","",""
"086-00154-04R","000","900","EBOM","601-00089-00","CP","4","Part","R94,R135,R226,R228","","","","","","",""
"086-00154-04R","000","900","EBOM","601-00194-00","CP","6","Part","R7,R11,R12,R132,R139,R142","","","","","","",""
"086-00154-04R","000","900","EBOM","601-00225-01","CP","1","Part"," R10,","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04000-00","B","2","Part"," R115, R189 ","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04001-00","B","1","Part","R162,","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04017-00","B","1","Part"," R153,","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04025-00","B","2","Part","R197, R203, ","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04037-00","B","1","Part"," R44,","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04045-00","B","2","Part","R202, R205,","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04049-00","B","15","Part","R31,R32,R33,R34,R35,R36,R37,R38,R120,R157,R179,R180,R192,R193,R194","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04057-00","B","7","Part","R2,R6,R70,R75,R78,R84,R149","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04071-00","B","2","Part"," R134, R175,","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04073-00","B","7","Part","R25,R169,R195,R208,R279,R280,R282","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04075-00","B","1","Part"," R106,  ","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04077-00","B","1","Part","R54,","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04081-00","B","9","Part","R23,R51,R55,R112,R116,R154,R161,R163,R201","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04089-00","B","23","Part","R4,R5,R40,R41,R45,R47,R48,R52,R53,R117,R121,R125,R127,R136,R138,R145,R147,R151,R152,R155,R170,R187,R196","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04093-00","B","8","Part","R49,R118,R130,R141,R148,R164,168,R188","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04097-00","B","17","Part","R3,R8,R9,R13,R14,R99,R126,R129,R133,R165,R166,R167,R177,R183,R185,R204,R207","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04105-00","B","4","Part","R108,R109,R176,R186","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04121-00","B","1","Part"," R28, ","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04145-00","B","20","Part","R56, R60, R63, R66, R71, R72, R76, R80, R88, R91, R95, R111, R122, R124, R173, R181,R200, R220, R221, R222,","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04513-00","B","1","Part"," R113,  ","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04521-00","B","6","Part","R1, R93, R105, R137, R150, R159,","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04569-00","B","2","Part","R15, R26,","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04584-00","B","9","Part","R16,R17,R18,R19,R20,R21,R22,R50,R184","","","","","","",""
"086-00154-04R","000","900","EBOM","602-00018-03","CY","2","Part","C14, C15, ","","","","","","",""
"086-00154-04R","000","900","EBOM","602-00020-03","CY","10","Part"," C8, C18, C19, C23, C39, C55, C96, C100, C101, C102,","","","","","","",""
"086-00154-04R","000","900","EBOM","602-00022-03","CY","22","Part","C9, C40, C41, C42, C44, C45, C46, C47, C48, C49, C50, C51, C53, C54, C60, C82, C83, C103, C104, C105, C106, C109,","","","","","","",""
"086-00154-04R","000","900","EBOM","602-00025-03","CY","36","Part"," C4, C7, C12, C13, C20, C21, C26, C27, C29,, C31, C32, C33, C34, C36, C37, C38, C52, C56, C57,, C59, C61, C62, C63, C67, C71, C72, C77, C79, C87, C88, C89,C90, C91, C93, C107, C110,","","","","","","",""
"086-00154-04R","000","900","EBOM","602-00044-03","CY","3","Part","C16, C22, C24, ","","","","","","",""
"086-00154-04R","000","900","EBOM","602-00049-07","CY","1","Part"," C28,  ","","","","","","",""
"086-00154-04R","000","900","EBOM","602-00058-03","CY","1","Part","C10,, ","","","","","","",""
"086-00154-04R","000","900","EBOM","602-00072-08","CY","1","Part",", C99, ","","","","","","",""
"086-00154-04R","000","900","EBOM","602-00077-10","CY","1","Part","C68,","","","","","","",""
"086-00154-04R","000","900","EBOM","602-20019-03","C","1","Part","C25, ","","","","","","",""
"086-00154-04R","000","900","EBOM","602-30047-00","F","4","Part"," C5, C64, C65,, C92, ","","","","","","",""
"086-00154-04R","000","900","EBOM","602-35003-00","D","3","Part","C6, C11, C35,","","","","","","",""
"086-00154-04R","000","900","EBOM","602-35027-00","D","2","Part","C95, C97, ","","","","","","",""
"086-00154-04R","000","900","EBOM","603-00008-00","BZ","1","Part","D43,","","","","","","",""
