Part No,Revision,Operation No,Operation Code,Component Part No,Component Revision,Quantity,Component Type,Note,Validate,Auto Deplete,Transfer Heat,Unit Conversion,Min Quantity,Max Quantity,Fix Quantity
086-00155-02R,0,900,EBOM,601-04017-00,B,2,Part,"R48,R49",,,,,,,
086-00155-02R,0,900,EBOM,601-04025-00,B,2,Part,"R36,R37",,,,,,,
086-00155-02R,0,900,EBOM,601-04045-00,B,2,Part,"R34,R35",,,,,,,
086-00155-02R,0,900,EBOM,601-04049-00,B,7,Part,"R2,R8,R31,R38,R39,R40,R41",,,,,,,
086-00155-02R,0,900,EBOM,601-04073-00,B,7,Part,"R12,R15,R17,R19,R20,R28,R30",,,,,,,
086-00155-02R,0,900,EBOM,601-04081-00,B,13,Part,"R3,R4,R5,R6,R7,R9,R10,R11,R13,R16,R18,R21,R22",,,,,,,
086-00155-02R,0,900,EBOM,601-04089-00,B,1,Part,R24,,,,,,,
086-00155-02R,0,900,EBOM,601-04097-00,B,7,Part,"R29,R42,R43,R44,R45,R46,R47",,,,,,,
086-00155-02R,0,900,EBOM,602-00018-03,CY,2,Part,"C19,C20",,,,,,,
086-00155-02R,0,900,EBOM,602-00020-03,CY,2,Part,"C21,C22",,,,,,,
086-00155-02R,0,900,EBOM,602-00025-03,CY,9,Part,"C1,C2,C5,C6,C12,C13,C15,C23,C25",,,,,,,
086-00155-02R,0,900,EBOM,602-35003-00,D,4,Part,"C3,C4,C100,C103",,,,,,,
086-00155-02R,0,900,EBOM,603-00017-00,BZ,2,Part,"D2,D3",,,,,,,
086-00155-02R,0,900,EBOM,603-00103-00,BZ,2,Part,"D4,D5",,,,,,,
086-00155-02R,0,900,EBOM,653-00560-00,B,1,Part,U3,,,,,,,
086-00155-02R,0,900,EBOM,663-00003-00,A,1,Part,L12,,,,,,,
086-00155-02R,0,900,EBOM,602-10030-03,C,2,Part,"C10,C11",,,,,,,
086-00155-02R,0,900,EBOM,602-20021-03,c,4,Part,"C7,C8,C9,C26",,,,,,,
086-00155-02R,0,900,EBOM,602-20037-02,C,4,Part,"C14,C16,C17,C18",,,,,,,
086-00155-02R,0,900,EBOM,653-00050-00,a,2,Part,"U1,U5",,,,,,,
086-00155-02R,0,900,EBOM,602-00081-11,CY,1,Part,C101,,,,,,,
086-00155-02R,0,900,EBOM,602-00087-03,CY,1,Part,C24,,,,,,,
086-00155-02R,0,900,EBOM,663-00004-00,A,8,Part,"L1,L2,L4,L5,L6,L7,L8,L9",,,,,,,
086-00155-02R,0,900,EBOM,655-00027-00,M,2,Part,"J1,J3",,,,,,,
086-00155-02R,0,900,EBOM,009-00723-01,C,1,Part,,,,,,,,
086-00155-02R,0,900,EBOM,654-00016-00,H,1,Part,X108,,,,,,,
086-00155-02R,0,900,EBOM,601-04137-00,B,3,Part,"R14,R32,R33",,,,,,,
086-00155-02R,0,900,EBOM,653-00623-00,AR,1,Part,U2,,,,,,,
086-00155-02R,0,900,EBOM,603-00012-00,BZ,1,Part,D1,,,,,,,
086-00155-02R,0,900,EBOM,653-00559-00,B,1,Part,U6,,,,,,,
086-00155-02R,0,900,EBOM,653-00616-00,AR,1,Part,U4,,,,,,,
