 Invensys Bottom Part Report for 009-00861.pcb on 8/13/2013 10:24:05 AM,,,,,,,,,
,,,,,,,,,
Requested Condition:,,,,,,,,,
Layer Name contains 'Bottom',,,,,,,,,
,,,,,,,,,
Name,Position X,Position Y,Rotation,Layer Name,Part Type,PCB Decal,Glued,SMD,Description
F5,1530,1345,0,Bottom,ZFIDUCIAL-LOCAL,ZFUD-LOCAL,No,Yes,FIDUCIAL- LOCAL
F6,1490,2440,0,Bottom,ZFIDUCIAL-LOCAL,ZFUD-LOCAL,No,Yes,FIDUCIAL- LOCAL
F7,365,3795,0,Bottom,ZFIDUCIAL-GLOBOL,ZFUD-GLOBAL,No,Yes,FIDUCIAL- GLOBAL
F8,11455,3980,0,Bottom,ZFIDUCIAL-GLOBOL,ZFUD-GLOBAL,No,Yes,FIDUCIAL- GLOBAL
N9,1650,595,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N10,2755,3465,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N11,3480,1720,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N12,310,2360,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N13,60,1370,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N14,500,2300,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N15,4330,3085,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N16,850,2125,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N17,920,2200,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N18,600,440,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N19,3045,2505,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N20,3370,1810,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N21,2395,440,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N22,130,530,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N23,-55,2930,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N24,3105,2945,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N25,1595,2360,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N26,1005,1550,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N27,1415,2365,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N28,4145,1430,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N29,4325,2985,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N34,520,1705,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N35,3145,2505,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N36,3495,850,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N37,1730,2385,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N38,3250,3500,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N39,3150,3365,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N40,945,890,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N41,3385,2105,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N42,3940,2190,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N43,3130,2625,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N44,3825,860,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N51,3805,3415,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N52,3305,2490,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N53,325,665,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N54,30,3895,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N55,1790,3960,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N56,2065,3960,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N200,3205,1560,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N201,3275,1470,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N202,935,2890,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N203,2625,2365,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N204,1030,1985,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N205,2370,2935,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N206,1155,1725,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N207,1090,2505,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N209,3540,1250,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N210,2395,3900,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N211,2575,2200,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N212,1985,2840,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N213,2270,1195,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N214,3355,1390,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N215,2105,1025,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N216,1335,3315,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N217,3135,1445,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N218,690,3820,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N219,3240,1345,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N220,1645,1110,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N221,1540,3305,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N222,3010,1395,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N223,1260,1525,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N224,1910,3035,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N225,1400,2265,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N226,1850,1095,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N227,2025,2995,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N228,2795,2345,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N229,1990,1205,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N230,1180,3165,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N231,3115,2115,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N232,1355,1470,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N233,1095,1435,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N234,1455,1095,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N235,1835,2400,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N236,1260,1095,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N237,1010,1690,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N238,2490,940,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N239,1195,1630,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N240,2220,2755,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N241,1220,1350,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N242,2520,2780,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N243,1620,1335,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N244,1850,1305,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N245,2855,3185,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N247,455,1150,270,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N249,1315,2330,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N250,2245,1990,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N251,1545,2545,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N252,1125,2600,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N253,1840,2565,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N254,2195,2510,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N255,980,2480,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N256,280,2605,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N257,90,1055,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N259,605,1425,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N260,585,1305,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N261,250,885,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N263,615,2215,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N264,295,2160,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N265,345,1590,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N266,340,1950,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N267,2195,2400,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N268,3275,3900,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N269,4000,3590,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N270,845,1430,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N271,2565,2475,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
