 Invensys Top Part Report for 009-00861.pcb on 8/13/2013 10:29:02 AM,,,,,,,,,
,,,,,,,,,
Requested Condition:,,,,,,,,,
Layer Name contains 'Top',,,,,,,,,
,,,,,,,,,
Name,Position X,Position Y,Rotation,Layer Name,Part Type,PCB Decal,Glued,SMD,Description
B1,5780,3300,90,Top,044-00086-00,BHA,No,No,HOLDER COIN CELL 12MM 3V
C1,1985,2040,270,Top,602-20025-02,CS0603,No,Yes,CAP SMD0603 CER .01UF 25V 10% XR7
C2,6080,1620,270,Top,002-00343-00,CAC440,No,No,CAP ACER AT .01/50V 10%  X7R
C3,1910,2040,270,Top,602-20025-02,CS0603,No,Yes,CAP SMD0603 CER .01UF 25V 10% XR7
C4,1270,2175,270,Top,602-20037-02,CS0603,No,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C5,1345,2175,270,Top,602-20037-02,CS0603,No,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C6,1990,1585,90,Top,602-20025-02,CS0603,No,Yes,CAP SMD0603 CER .01UF 25V 10% XR7
C7,1195,2085,90,Top,602-20025-02,CS0603,No,Yes,CAP SMD0603 CER .01UF 25V 10% XR7
C8,3625,3955,270,Top,602-30002-00,CSE6.3X5.8,No,Yes,CAP SMD6.3X5.8 ALU ELEC 47UF 16V 20% 105C LOW Z
C9,3055,1995,0,Top,602-20025-02,CS0603,No,Yes,CAP SMD0603 CER .01UF 25V 10% XR7
C10,3395,2375,90,Top,602-20037-02,CS0603,No,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C11,3495,2745,270,Top,602-20037-02,CS0603,No,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C12,5105,3275,90,Top,002-00470-66,CHE300B,No,No,CAP 2200UF 35V 20% 85C COMPACT LP
C13,1540,2445,270,Top,602-00241-13,CS0603,No,Yes,CAP CER 0.47 10% 10V X7R 0603
C14,4860,680,90,Top,602-00006-00,CS1206,No,Yes,CAP SMD1206 CER .001UF 50V 5% X7R
C15,10405,4005,90,Top,002-00506-00,CHF12.5X5(5MM),No,No,CAP MPF 5MM .1UF 400V 10% 85C
C16,9725,3560,270,Top,002-00416-00,CRE200A,No,No,CAP EL RT 100UF 16V 20%  105C HC
C17,5240,1080,270,Top,602-00001-00,CS1206,No,Yes,CAP SMD1206 CER .01UF 50V 20% X7R
C18,2065,1585,90,Top,602-00241-13,CS0603,No,Yes,CAP CER 0.47 10% 10V X7R 0603
C19,6300,1800,270,Top,602-00001-00,CS1206,No,Yes,CAP SMD1206 CER .01UF 50V 20% X7R
