 Robertshaw Bottom Part Report for 009-00870.pcb on 6/29/2015 2:49:47 PM,,,,,,,,,
,,,,,,,,,
Requested Condition:,,,,,,,,,
Layer Name contains 'Bottom',,,,,,,,,
,,,,,,,,,
Name,Position X,Position Y,Rotation,Layer Name,Part Type,PCB Decal,Glued,SMD,Description
C200,430,4120,90,Bottom,602-20037-02,CS0603,Yes,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C201,725,4490,90,Bottom,602-00020-03,CS0805,Yes,Yes,CAP SMD0805 CER .01UF 50V 10% X7R
C202,950,4096,90,Bottom,602-00264-13,CS0603,Yes,Yes,CAP .033UF 10% 50V X7R 0603
C203,824,4096,270,Bottom,602-20037-02,CS0603,Yes,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C204,1013,4096,270,Bottom,602-20037-02,CS0603,Yes,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C205,887,4096,270,Bottom,602-20037-02,CS0603,Yes,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C206,2200,5575,270,Bottom,602-00020-03,CS0805,Yes,Yes,CAP SMD0805 CER .01UF 50V 10% X7R
C207,1045,5815,270,Bottom,602-00020-03,CS0805,Yes,Yes,CAP SMD0805 CER .01uF 50V 10% X7R
C208,892,4228,90,Bottom,602-20037-02,CS0603,Yes,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C209,1475,2495,90,Bottom,602-00025-03,CS0805,Yes,Yes,CAP SMD0805 CER .1UF 50V 10% X7R
C210,1128,4004,90,Bottom,602-20037-02,CS0603,Yes,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C211,1050,2850,90,Bottom,602-00149-03,CS0805,Yes,Yes,CAP 4.7UF 10V X5R 0805
C212,1130,4490,90,Bottom,602-00020-03,CS0805,Yes,Yes,CAP SMD0805 CER .01UF 50V 10% X7R
C213,1130,3390,90,Bottom,602-00148-13,CS0603,Yes,Yes,CAP 1UF 25V X5R 0603
C214,1220,5795,270,Bottom,602-20037-02,CS0603,Yes,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C215,1300,4680,90,Bottom,602-20037-02,CS0603,Yes,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C216,1320,4330,270,Bottom,602-20037-02,CS0603,Yes,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C217,1405,4630,270,Bottom,602-20052-00,CS1206,Yes,Yes,CAP 2.2UF 20% 25V X7R 1206
C218,1515,3240,270,Bottom,602-20037-02,CS0603,Yes,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C219,1375,3140,270,Bottom,602-00148-13,CS0603,Yes,Yes,CAP 1UF 25V X5R 0603
C220,1500,6040,90,Bottom,602-20037-02,CS0603,Yes,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
