"Part No","Revision","Operation No","Operation Code","Component Part No","Component Revision","Quantity","Component Type","Note","Validate","Auto Deplete","Transfer Heat","Unit Conversion","Min Quantity","Max Quantity","Fix Quantity"
"086-01729-00_BOT","","900","EBOM","601-04000-00","B","1","Part","R230","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-04077-00","B","1","Part","R221","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-04513-00","B","1","Part","R295","","","","","","",""
"086-01729-00_BOT","","900","EBOM","602-00020-03","CY","11","Part","C201,C207,C212,C224,,,C235,C249,C255,C261,C262,C229,C206,","","","","","","",""
"086-01729-00_BOT","","900","EBOM","602-00025-03","CY","3","Part","C209,C233,C266","","","","","","",""
"086-01729-00_BOT","","900","EBOM","603-00016-00","BZ","6","Part","D206-D209,D212,D215","","","","","","",""
"086-01729-00_BOT","","900","EBOM","603-00017-00","BZ","5","Part","D200-D202,D204,D211","","","","","","",""
"086-01729-00_BOT","","900","EBOM","603-00018-00","BZ","1","Part","D205","","","","","","",""
"086-01729-00_BOT","","900","EBOM","604-00002-00","B","2","Part","Q200,Q201","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-00063-00","cp","1","Part","R226","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-04488-00","b","1","Part","R235","","","","","","",""
"086-01729-00_BOT","","900","EBOM","602-10049-03","C","1","Part","C267","","","","","","",""
"086-01729-00_BOT","","900","EBOM","602-20037-02","C","24","Part","C200,C203-C205,C208,C210,C214-C216,C218,C220-C222,C225,C228,C241,C243,C247,C251,C252,C258,C264,C265,C268","","","","","","",""
"086-01729-00_BOT","","900","EBOM","602-00121-03","CY","2","Part","C254,C263","","","","","","",""
"086-01729-00_BOT","","900","EBOM","602-00149-03","CY","1","Part","C211","","","","","","",""
"086-01729-00_BOT","","900","EBOM","602-00158-03","CY","1","Part","C269","","","","","","",""
"086-01729-00_BOT","","900","EBOM","602-00264-13","A","13","Part","C202,C223,C230,C231,C238,C239,C242,C244,C245,C253,C256,C259,C260","","","","","","",""
"086-01729-00_BOT","","900","EBOM","663-00002-00","A","1","Part","L203","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-00280-13","CP","22","Part","R201,R203,R217,R218,R200,  R205,R231,R232,R238,R241,  R251,R267,R268,R285,R289,  R291,R300,R303-R305,R310,R253,","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-00283-13","CP","17","Part","R206,R224,R246,R250,R257-R259,R261,R288,R294,R296,R298,R299,R301,R302,R311,R312","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-00284-13","CP","9","Part",",R209,R216,R248,,R256,R263,R269,R272,R276,R279","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-00026-00","CP","2","Part","R286,R293","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-00192-00","CP","1","Part","R237","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-00241-13","CP","5","Part","R270,R271,R308,,R252,R313","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-00243-13","CP","2","Part","R204,R207,","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-00371-13","A","1","Part","R266,","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-00408-13","","2","Part","R214,R228","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-04021-00","B","1","Part","R287","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-04051-00","B","3","Part","R273,R283,R292","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-04059-00","B","1","Part","R275","","","","","","",""
"086-01729-00_BOT","","900","EBOM","603-00041-00","BZ","1","Part","D203","","","","","","",""
"086-01729-00_BOT","","900","EBOM","603-00070-00","BZ","1","Part","D214","","","","","","",""
"086-01729-00_BOT","","900","EBOM","603-00104-00","BZ","3","Part","D210,D213,D216","","","","","","",""
"086-01729-00_BOT","","900","EBOM","602-20052-00","C","2","Part","C217,C250","","","","","","",""
"086-01729-00_BOT","","900","EBOM","602-10049-02","C","1","Part","C240","","","","","","",""
"086-01729-00_BOT","","900","EBOM","663-00031-00","A","5","Part","L200,L205-L208","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-00388-13","A","2","Part","R254,R223,","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-00363-13","A","1","Part","R309,","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-00391-13","A","4","Part","R202,R208,R290,R306","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-00364-13","A","18","Part",",,R210-R213,R215,R219,R220,,R233,R249,,,R265,R274,R277,R278,R280-R282,R284,,R297,","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-00379-13","A","1","Part","R243","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-05001-39R0F","A","2","Part","R240,R245","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-05001-49R9F","A","2","Part","R239,R242,","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-05001-680J","A","1","Part","R227","","","","","","",""
"086-01729-00_BOT","","900","EBOM","602-00148-13","A","2","Part","C213,C219","","","","","","",""
"086-01729-00_BOT","","900","EBOM","602-00322-00","A","2","Part","C232,C236","","","","","","",""
"086-01729-00_BOT","","900","EBOM","602-05012-D272K","A","4","Part","C226,C227,C237,C257","","","","","","",""
"086-01729-00_BOT","","900","EBOM","084-01729-00","","1","Part","","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-00039-00","CP","2","Part","R260,R264","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-05001-4751F","A","1","Part","R225","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-05004-5621F","","1","Part","R244","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-05004-6191F","","1","Part","R247","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-05004-4751F","","1","Part","R236","","","","","","",""
"086-01729-00_BOT","","900","EBOM","601-05001-3743F","A","1","Part","R222,","","","","","","",""
"084-01729-00","","900","EBOM","041-00017-00","C","2","Part","NTC2, NTC3","","","","","","",""
"084-01729-00","","900","EBOM","051-00014-00","D","1","Part","F2","","","","","","",""
"084-01729-00","","900","EBOM","002-00216-00","ACS","3","Part","C15,C20,C26","","","","","","",""
"084-01729-00","","900","EBOM","002-00406-00","ACS","2","Part","C19,C35","","","","","","",""
"084-01729-00","","900","EBOM","002-00417-00","ACS","2","Part","C6,C7","","","","","","",""
"084-01729-00","","900","EBOM","002-00515-00","ACS","2","Part","C16,C23","","","","","","",""
"084-01729-00","","900","EBOM","003-00204-00","A","2","Part","D9,D18","","","","","","",""
"084-01729-00","","900","EBOM","E02806","E","1","Part","S1","","","","","","",""
"084-01729-00","","900","EBOM","083-01729-00","","1","Part","","","","","","","",""
"084-01729-00","","900","EBOM","002-00660-00","A","1","Part","C27","","","","","","",""
"083-01729-00","","900","EBOM","081-01729-00","","1","Part","","","","","","","",""
"083-01729-00","","900","EBOM","086-01729-00_TOP","","1","Part","","","","","","","",""
"086-01729-00_TOP","","900","EBOM","601-00066-02","CP","1","Part","R35","","","","","","",""
"086-01729-00_TOP","","900","EBOM","601-04000-00","B","1","Part","R17","","","","","","",""
"086-01729-00_TOP","","900","EBOM","601-04121-00","B","7","Part","R33,R36,R38,R39,R41-R43","","","","","","",""
"086-01729-00_TOP","","900","EBOM","601-04513-00","B","1","Part","R15","","","","","","",""
"086-01729-00_TOP","","900","EBOM","602-00018-03","CY","4","Part","C8,C13,C24,C25","","","","","","",""
"086-01729-00_TOP","","900","EBOM","602-00020-03","CY","6","Part","C2,C4,C37-C40,","","","","","","",""
"086-01729-00_TOP","","900","EBOM","602-00025-03","CY","1","Part","C29","","","","","","",""
"086-01729-00_TOP","","900","EBOM","603-00016-00","BZ","4","Part","D10,D16,D17,D19","","","","","","",""
"086-01729-00_TOP","","900","EBOM","603-00017-00","BZ","8","Part","D2,D5-D8,D11,D21,D22","","","","","","",""
"086-01729-00_TOP","","900","EBOM","604-00001-00","D","1","Part","Q5,","","","","","","",""
"086-01729-00_TOP","","900","EBOM","604-00002-00","B","9","Part","Q6,Q20-Q27,","","","","","","",""
"086-01729-00_TOP","","900","EBOM","604-00025-00","B","1","Part","Q28","","","","","","",""
"086-01729-00_TOP","","900","EBOM","653-00117-00","A","1","Part","U1","","","","","","",""
"086-01729-00_TOP","","900","EBOM","653-00560-00","B","1","Part","U6","","","","","","",""
"086-01729-00_TOP","","900","EBOM","653-00574-00","C","2","Part","U5,U9","","","","","","",""
"086-01729-00_TOP","","900","EBOM","653-00586-00","AR","1","Part","U13","","","","","","",""
"086-01729-00_TOP","","900","EBOM","653-00611-00","AR","2","Part","U2,U3","","","","","","",""
"086-01729-00_TOP","","900","EBOM","654-00010-00","B","2","Part","X3, X4","","","","","","",""
"086-01729-00_TOP","","900","EBOM","601-04041-00","B","2","Part","R21,R79,","","","","","","",""
"086-01729-00_TOP","","900","EBOM","654-00003-00","B","1","Part","X1","","","","","","",""
"086-01729-00_TOP","","900","EBOM","601-00063-00","cp","1","Part","R83","","","","","","",""
"086-01729-00_TOP","","900","EBOM","602-20037-02","C","8","Part","C1,C3,C14,C33,C36,C41,C43,C72,","","","","","","",""
"086-01729-00_TOP","","900","EBOM","602-30003-00","f","1","Part","C10","","","","","","",""
"086-01729-00_TOP","","900","EBOM","602-00030-04R","CY","1","Part","C31","","","","","","",""
"086-01729-00_TOP","","900","EBOM","602-00264-13","A","1","Part","C42","","","","","","",""
"086-01729-00_TOP","","900","EBOM","602-00265-03","A","1","Part","C5","","","","","","",""
"086-01729-00_TOP","","900","EBOM","602-30002-00","F","1","Part","C30","","","","","","",""
"086-01729-00_TOP","","900","EBOM","659-00003-00","C","3","Part","L2-L4","","","","","","",""
"086-01729-00_TOP","","900","EBOM","655-00023-00","M","3","Part","P10,P11,P15","","","","","","",""
"086-01729-00_TOP","","900","EBOM","601-00280-13","CP","8","Part","R18,R24,R25,R27,,R30,R37,R52,R71,","","","","","","",""
"086-01729-00_TOP","","900","EBOM","601-00283-13","CP","2","Part","R3,R23","","","","","","",""
"086-01729-00_TOP","","900","EBOM","601-00284-13","CP","10","Part","R2,R40,R45,R47,R49,R51,R61,R63,R65,R67,","","","","","","",""
"086-01729-00_TOP","","900","EBOM","601-00288-13","CP","4","Part","R44,R46,R48,R77","","","","","","",""
"086-01729-00_TOP","","900","EBOM","601-00241-13","CP","4","Part","R82,R19,R20,R29","","","","","","",""
"086-01729-00_TOP","","900","EBOM","601-00243-13","CP","2","Part","R1,R87,","","","","","","",""
