 Invensys Top Part Report for 009-00723-01c.pcb on 5/8/2009 2:30:50 PM,,,,,,,,,
,,,,,,,,,
Requested Condition:,,,,,,,,,
Layer Name contains 'Top',,,,,,,,,
,,,,,,,,,
Name,Position X,Position Y,Rotation,Layer Name,Part Type,PCB Decal,Glued,SMD,Description
C1,2095,2400,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C2,1615,2400,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C3,2315,2400,0,Top,602-35003-00,CSE6.3X5.4,No,Yes,CAP SMD6.3X5.4 ALU ELEC 100uF 16V 20% 105C
C4,1395,2400,0,Top,602-35003-00,CSE6.3X5.4,No,Yes,CAP SMD6.3X5.4 ALU ELEC 100uF 16V 20% 105C
C5,3700,2565,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C6,3165,2670,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C7,3055,2550,270,Top,602-20021-03,CS0805,No,Yes,CAP SMD0805 4700pF 100V 10%  X7R
C8,2695,2530,270,Top,602-20021-03,CS0805,No,Yes,CAP SMD0805 4700pF 100V 10%  X7R
C9,3655,2940,90,Top,602-20021-03,CS0805,No,Yes,CAP SMD0805 4700pF 100V 10%  X7R
C10,8140,2310,180,Top,602-10030-03,CS0805,No,Yes,CAP SMD0805 CER 68pF 100V 5% NPO
C11,8070,2485,180,Top,602-10030-03,CS0805,No,Yes,CAP SMD0805 CER 68pF 100V 5% NPO
C12,8765,2615,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C13,8255,2840,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C14,5435,2200,270,Top,602-20037-02,CS0603,No,Yes,CAP SMD0603 CER .1uF 25V 10%
C15,7870,2525,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C16,6515,2940,90,Top,602-20037-02,CS0603,No,Yes,CAP SMD0603 CER .1uF 25V 10%
C17,6385,2300,270,Top,602-20037-02,CS0603,No,Yes,CAP SMD0603 CER .1uF 25V 10%
C18,6335,2940,90,Top,602-20037-02,CS0603,No,Yes,CAP SMD0603 CER .1uF 25V 10%
C19,5510,3005,270,Top,602-00018-03,CS0805,No,Yes,CAP SMD0805 CER 15pF 100V 10% X7R
C20,6205,2955,270,Top,602-00018-03,CS0805,No,Yes,CAP SMD0805 CER 15pF 100V 10% X7R
C21,5345,2200,270,Top,602-00020-03,CS0805,No,Yes,CAP SMD0805 CER .01uF 50V 10% X7R
C22,6425,2940,90,Top,602-00020-03,CS0805,No,Yes,CAP SMD0805 CER .01uF 50V 10% X7R
C23,8975,2750,180,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C24,6295,2300,90,Top,602-00087-03,CS0805,No,Yes,CAP SMD0805 CER 1uF 10V 10% X7R
C25,3855,2620,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C26,3055,2335,270,Top,602-20021-03,CS0805,No,Yes,CAP SMD0805 4700pF 100V 10%  X7R
C100,8035,2900,0,Top,602-35003-00,CSE6.3X5.4,No,Yes,CAP SMD6.3X5.4 ALU ELEC 100uF 16V 20% 105C
C101,7670,2560,0,Top,602-00081-11,CSE5X5,No,Yes,CAP SMD5X5 ALU ELEC 10uF 35V 20% 85C
C103,8960,3000,0,Top,602-35003-00,CSE6.3X5.4,No,Yes,CAP SMD6.3X5.4 ALU ELEC 100uF 16V 20% 105C
D1,6725,2920,270,Top,603-00012-00,DS-SOT23(123),No,Yes,DIODE SOT23 DUAL DIODE BAV99L
